Company,Symbol,Sector
4Sight Holdings Limited,4SI,Financial Services
ABSA Bank Limited,ABSP,Banks
Accelerate Property Fund Limited,APF,Real Estate Investment Trusts
Accentuate Limited,ACE,Chemicals
Acsion Limited,ACS,Real Estate Investment & Services
Adapt It Holdings Limited,ADI,Software & Computer Services
Adcock Ingram Holdings Limited,AIP,Pharmaceuticals & Biotechnology
Adcorp Holdings Limited,ADR,Support Services
Adrenna Property Group Limited,ANA,Real Estate Investment & Services
Advanced Health Limited,AVL,Health Care Equipment & Services
Advtech Limited,ADH,General Retailers
AECI Limited,AFE,Chemicals
AEP Energy Africa Limited,AEY,Financial Services
African And Overseas Enterprises Limited,AOO,General Retailers
African Bank Investments Limited,ABL,Financial Services
African Dawn Capital Limited,ADW,Financial Services
African Eagle Resources Plc,AEA,Industrial Metals & Mining
African Equity Empowerment Investments Limited,AEE,Financial Services
African Media Entertainment Limited,AME,Media
African Oxygen Limited,AFX,Chemicals
African Rainbow Minerals Limited,ARI,Industrial Metals & Mining
Afrimat Limited,AFT,Construction & Materials
Afrocentric Investment Corp Limited,ACT,Financial Services
AH-Vest Limited,AHL,Food Producers
Alaris Holdings Limited,ALH,Aerospace & Defense
Alert Steel Holdings Limited,AET,General Retailers
Alexander Forbes Group Holdings Limited,AFH,Financial Services
Allied Electronics Corporation Limited,AEL,Software & Computer Services
Amalgamated Electronic Corp Limited,AER,Electronic & Electrical Equipment
Anchor Group Limited,ACG,Financial Services
Andulela Investment Holdings Limited,AND,Industrial Metals & Mining
Anglo American Platinium Limited,AMS,Mining
Anglo American Plc,AGL,Mining
Anglogold Ashanti Limited,ANG,Mining
AB InBev,ANB,Beverages
Ansys Limited,ANS,Industrial Transportation
ARB Holdings Limited,ARH,Support Services
Arcelormittal South Africa Limited,ACL,Industrial Metals & Mining
Argent Industrial Limited,ART,Support Services
Arrowhead Properties Limited,AWA,Real Estate Investment Trusts
Ascendis Health Limited,ASC,Pharmaceuticals & Biotechnology
Ascension Properties Limited,AIA,Real Estate Investment Trusts
Aspen Pharmacare Holdings Limited,APN,Pharmaceuticals & Biotechnology
Assore Limited,ASR,Industrial Metals & Mining
Astoria Investments Limited,ARA,Financial Services
Astral Foods Limited,ARL,Food Producers
Astrapak Limited,APK,General Industrials
Atlantic Leaf Properties Limited,ALP,Real Estate Investment Trusts
Atlatsa Resources Corporation,ATL,Mining
Attacq Limited,ATT,Real Estate Investment & Services
Aveng Limited,AEG,Construction & Materials
AVI Limited,AVI,Food Producers
Avior Capital Markets Holdings Limited,AVR,Software & Computer Services
Awethu Breweries Limited,AWT,Food Producers
Balwin Properties Pty Limited,BWN,Real Estate Investment & Services
Barclays Africa Group Limited,BGA,Banks
Barloworld Limited,BAW,Support Services
Basil Read Holdings Limited,BSR,Construction & Materials
Bauba Platinum Limited,BAU,Mining
Beige Holdings Limited,BEG,Personal Goods
Bell Equipment Limited,BEL,Industrial Engineering
BHP Billiton Plc,BIL,Industrial Metals & Mining
Bid Corp Limited,BID,Health Care Equipment & Services
BK One Limited,BK1P,Financial Services
Blue Financial Services Limited,BFS,Financial Services
Blue Label Telecoms Limited,BLU,Support Services
Bonatla Property Holdings Limited,BNT,Real Estate Investment & Services
Bowler Metcalf Limited,BCF,Chemicals
Brainworks Limited,BWZ,Real Estate Investment & Services
Brait SE,BAT,Financial Services
Brikor Limited,BIK,Construction & Materials
Brimstone Investment Corporation Ld,BRT,Financial Services
British American Tobacco Plc,BTI,Tobacco
BSI Steel Limited,BSS,Industrial Metals & Mining
Buffalo Coal Corp,BUC,Mining
Buildmax Limited,BDM,"Oil Equipment, Services & Distribution"
CAFCA Limited,CAC,Electronic & Electrical Equipment
Calgro M3 Holdings Limited,CGR,Real Estate Investment & Services
Capevin Holdings Limited,CVH,Beverages
Capital & Counties Properties Plc,CCO,Real Estate Investment & Services
Capital & Regional Plc,CRP,Real Estate Investment Trusts
Capital Appreciation Limited,CTA,Financial Services
Capitec Bank Holdings Limited,CPI,Banks
Cargo Carriers Limited,CRG,Industrial Transportation
Cartrack Holdings Limited,CTK,Technology Hardware & Equipment
Cashbuild Limited,CSB,General Retailers
Caxton CTP Publishers & Printers Ltd,CAT,Media
Central Rand Gold Limited,CRD,Mining
Chemical Specialities Limited,CSP,Chemicals
Choppies Enterprises Limited,CHP,General Retailers
Chrometco Limited,CMO,Industrial Metals & Mining
City Lodge Hotels Limited,CLH,Travel & Leisure
Clicks Group Limited,CLS,Food & Drug Retailers
Clientele Limited,CLI,Life Insurance
Clover Industries Limited,CLR,Food Producers
Coal Of Africa Limited,CZA,Oil & Gas Producers
Cognition Holdings Limited,CGN,Fixed Line Telecommunications
Comair Limited,COM,Travel & Leisure
Combined Motor Holdings Limited,CMH,General Retailers
Command Holdings Limited,CMA,General Retailers
Compagnie Financiere Richemont SA,CFR,Personal Goods
Conduit Capital Limited,CND,Nonlife Insurance
Consolidated Infrastructure Group Ltd,CIL,Construction & Materials
Coronation Fund Managers Limited,CML,Financial Services
Crookes Brothers Limited,CKS,Food Producers
CSG Holdings Limited,CSG,Support Services
Cullinan Holdings Limited,CUL,Travel & Leisure
Curro Holdings Limited,COH,General Retailers
Datacentrix Holdings Limited,DCT,Software & Computer Services
Datatec Limited,DTC,Technology Hardware & Equipment
Delrand Resources Limited,DRN,Industrial Metals & Mining
Delta EMD Limited,DTA,Electronic & Electrical Equipment
Delta Property Fund Limited,DLT,Real Estate Investment Trusts
Deneb Investments Limited,DNB,Financial Services
Diamondcorp Plc,DMC,Industrial Metals & Mining
Dipula Income Fund Limited,DIA,Real Estate Investment Trusts
Dis-Chem Pharmacies,DCP,Food & Drug Retailers
Discovery Limited,DSY,Life Insurance
Distell Group Limited,DST,Beverages
Distribution And Warehousing Network Ld,DAW,Support Services
DRDGOLD Limited,DRD,Mining
E Media Holdings Limited,EMH,Personal Goods
Eastern Platinum Limited,EPS,Industrial Metals & Mining
Echo Polska Properties,EPP,Real Estate Investment & Services
Ecsponent Limited,ECS,Financial Services
Efficient Group Limited,EFG,Financial Services
ELB Group Limited,ELR,Support Services
Ellies Holdings Limited,ELI,Technology Hardware & Equipment
Emira Property Fund Limited,EMI,Real Estate Investment Trusts
enX Group Limited,ENX,Support Services
EOH Holdings Limited,EOH,Software & Computer Services
EPE Capital Partners Limited (Ethos Capital),EPE,Financial Services
Eqstra Holdings Limited,EQS,Support Services
Equites Property Fund Limited,EQU,Real Estate Investment Trusts
Erin Energy Corporation,ERN,Oil & Gas Producers
Esor Limited,ESR,Construction & Materials
Masonite (Africa) Limited,MAS,Forestry & Paper
Evraz Highveld Steel & Vanadium Ltd,EHS,Industrial Metals & Mining
Exxaro Resources Limited,EXX,Oil & Gas Producers
Fairvest Property Holdings Limited,FVT,Real Estate Investment & Services
Famous Brands Limited,FBR,Travel & Leisure
Ferrum Crescent Limited,FCR,Industrial Metals & Mining
Finbond Group Limited,FGL,Financial Services
Firestone Energy Limited,FSE,Mining
Firstrand Limited,FSR,Financial Services
Fortress Income Fund Limited,FFB,Real Estate Investment Trusts
Freedom Property Fund Ltd,FDP,Real Estate Investment & Services
GAIA Infrastructure Capital Limited,GAI,Financial Services
Giyani Gold Corporation,GIY,Industrial Metals & Mining
Glencore Plc,GLN,Mining
Global Asset Management Limited,GAM,Financial Services
Globe Trade Centre SA,GTC,Real Estate Investment & Services
Go Life International PCC,GLI,Health Care Equipment & Services
Gold Brands Investments Limited,GBI,Travel & Leisure
Gold Fields Limited,GFI,Mining
Gooderson Leisure Corporation Ltd,GDN,Travel & Leisure
Grand Parade Investments Limited,GPL,Travel & Leisure
Great Basin Gold Limited,GBG,Mining
Greenbay Properties Limited,GRP,Financial Services
Grindrod Limited,GND,Industrial Transportation
Group Five Limited,GRF,Construction & Materials
Growthpoint Properties Limited,GRT,Real Estate Investment Trusts
Harmony Gold Mining Company Limited,HAR,Mining
Heriot REIT Limited,HET,Real Estate Investment Trusts
Holdsport Limited,HSP,General Retailers
Homechoice International Plc,HIL,General Retailers
Hosken Consolidated Investments Ltd,HCI,General Industrials
Hospitality Property Fund Limited,HPA,Real Estate Investment Trusts
Howden Africa Holdings Limited,HWN,Industrial Engineering
Hudaco Industries Limited,HDC,Support Services
Huge Group Limited,HUG,Fixed Line Telecommunications
Hulamin Limited,HLM,Industrial Metals & Mining
Hulisani Limited,HUL,#N/A
Hwange Colliery Company Limited,HWA,#N/A
Hyprop Investments Limited,HYP,Real Estate Investment Trusts
Imbalie Beauty Limited,ILE,Personal Goods
Impala Platinum Holdings Limited,IMP,Mining
Imperial Holdings Limited,IPL,General Retailers
Indequity Group Limited,IDQ,Nonlife Insurance
Indluplace Properties Limited,ILU,Real Estate Investment Trusts
Ingenuity Property Investments Ltd,ING,Real Estate Investment & Services
Insimbi Refractory and Alloy Supplies Limited,ISB,Support Services
International Hotel Group Limited,IHL,Real Estate Investment & Services
Interwaste Holdings Limited,IWE,Support Services
Intu Properties Plc,ITU,Real Estate Investment Trusts
Investec Australia Property Fund,IAP,Real Estate Investment Trusts
Investec Limited,INL,Financial Services
Investec Plc,INP,Financial Services
Investec Property Fund Limited,IPF,Real Estate Investment Trusts
Invicta Holdings Limited,IVT,Support Services
IPSA Group Plc,IPS,Construction & Materials
ISA Holdings Limited,ISA,Software & Computer Services
Italtile Limited,ITE,General Retailers
Jasco Electronics Holdings Limited,JSC,Electronic & Electrical Equipment
JSE Limited,JSE,Financial Services
Jubilee Platinum Plc,JBL,Industrial Metals & Mining
Kaap Agri Limited,KAL,Food Producers
KAP Industrial Holdings Limited,KAP,General Industrials
Kaydav Group Limited,KDV,Support Services
Keaton Energy Holdings Limited,KEH,Oil & Gas Producers
Kibo Mining Plc,KBO,Mining
Kumba Iron Ore Limited,KIO,Industrial Metals & Mining
Labat Africa Limited,LAB,Technology Hardware & Equipment
Lewis Group Limited,LEW,General Retailers
Liberty Holdings Limited,LBH,Life Insurance
Liberty Two Degrees,L2D,Real Estate Investment Trusts
Life Healthcare Group Holdings Ltd,LHC,Health Care Equipment & Services
Lodestone REIT Limited,LDO,Real Estate Investment Trusts
London Finance & Investment Group Plc,LNF,Financial Services
Long4Life Limited,L4L,Financial Services
Lonmin Plc,LON,Industrial Metals & Mining
M-FiTEC International Limited,MFI,Software & Computer Services
Mainland Real Estate Limited,MLD,Real Estate Investment & Services
Mara Delta Property Holdings,MDP,Real Estate Investment Trusts
Marshall Monteagle Plc,MMP,Support Services
MAS Real Estate Inc,MSP,Real Estate Investment & Services
Massmart Holdings Limited,MSM,Food & Drug Retailers
Master Drilling Group Ltd,MDI,Industrial Metals & Mining
Master Plastics Limited,MAP,General Industrials
Mazor Group Limited,MZR,Construction & Materials
Mediclinic International Limited,MEI,Health Care Equipment & Services
Merafe Resources Limited,MRF,Industrial Metals & Mining
Metair Investments Limited,MTA,Automobiles & Parts
Metrofile Holdings Limited,MFL,Software & Computer Services
MICROmega Holdings Limited,MMG,Financial Services
Middle East Diamond Resources Limited,MED,Industrial Metals & Mining
Mine Restoration Investments Ltd,MRI,Support Services
Miranda Mineral Holdings Limited,MMH,Industrial Metals & Mining
Mix Telematics Limited,MIX,Support Services
MMI Holdings Limited,MMI,Life Insurance
Mondi Limited,MND,Forestry & Paper
Mondi Plc,MNP,General Industrials
Moneyweb Holdings Limited,MNY,Software & Computer Services
Montauk Holdings Limited,MNK,Electricity
Mpact Limited,MPT,General Industrials
Mr Price Group Limited,MRP,General Retailers
MTN Group Limited,MTN,Mobile Telecommunications
Murray & Roberts Holdings Limited,MUR.ZA,Construction & Materials
Mustek Limited,MST,Technology Hardware & Equipment
Nampak Limited,NPK,General Industrials
Naspers Limited,NPN,Media
Nedbank Group Limited,NED,Banks
Net 1 UEPS Technologies Inc,NT1,Technology Hardware & Equipment
Netcare Limited,NTC,Health Care Equipment & Services
New Europe Property Investments Plc,NEP,Real Estate Investment & Services
New Frontier Properties Limited,NFP,Real Estate Investment & Services
Newpark REIT Limited,NRL,Real Estate Investment Trusts
Nictus Beperk,NCS,Financial Services
Niveus Investments Ltd,NIV,Financial Services
Northam Platinum Limited,NHM,Mining
Novus Holdings Limited,NVS,Support Services
Nu-World Holdings Limited,NWL,Household Goods & Home Construction
Nutritional Holdings Limited,NUT,Food Producers
NVest Financial Holdings Limited,NVE,Financial Services
Oakbay Resources And Energy Limited,ORL,Mining
Oando Plc,OAO,Oil & Gas Producers
Oasis Crescent Property Fund,OAS,Financial Services
Oceana Group Limited,OCE,Food Producers
Octodec Investments Limited,OCT,Real Estate Investment Trusts
Old Mutual Plc,OML,Insurance
Omnia Holdings Limited,OMN,Chemicals
Onelogix Group Limited,OLG,Industrial Transportation
Orion Minerals NL,ORN,Mining
Orion Real Estate Limited,ORE,Real Estate Investment Trusts
Pallinghurst Resources Limited,PGL,Financial Services
Pan African Resources Plc,PAN,Industrial Metals & Mining
Pembury Lifestyle Group Limited,PEM,Real Estate Investment & Services
Peregrine Holdings Limited,PGR,Financial Services
Petmin Limited,PET,Industrial Metals & Mining
Phumelela Gaming & Leisure Limited,PHM,Travel & Leisure
Pick N Pay Holdings Limited,PWK,Food & Drug Retailers
Pick N Pay Stores Limited,PIK,Food & Drug Retailers
Pinnacle Holdings Ltd,PNC,Technology Hardware & Equipment
Pioneer Food Group Limited,PFG,Food Producers
Platfields Limited,PLL,Mining
PPC Limited,PPC,Construction & Materials
Premier Food and Fishing Limited,PFF,Food Producers
Prescient Limited,PCT,Financial Services
Primeserv Group Limited,PMV,Support Services
Protech Khuthele Holdings Limited,PKH,Construction & Materials
PSG Group Limited,PSG,Financial Services
PSG Konsult Limited,KST,Financial Services
PSV Holdings Limited,PSV,Industrial Engineering
Purple Group Limited,PPE,Financial Services
Putprop Limited,PPR,Real Estate Investment & Services
Quantum Food Holdings Limited,QFH,Food Producers
Quantum Property Group Limited,QPG,Real Estate Investment & Services
Rand Merchant Investment Holdings Limited,RMI,Life Insurance
Randgold & Exploration Company Ltd,RNG,Mining
Rare Holdings Limited,RAR,Support Services
Raubex Group Limited,RBX,Construction & Materials
RBA Holdings Limited,RBA,Real Estate Investment & Services
RCL Foods Limited,RCL,Food Producers
Rebosis Property Fund Limited,REB,Real Estate Investment Trusts
RECM And Calibre Limited,RACP,Financial Services
Redefine International Plc,RPL,Real Estate Investment Trusts
Redefine Properties Limited,RDF,Real Estate Investment Trusts
Reinet Investments SCA,REI,Financial Services
Remgro Limited,REM,Financial Services
Renergen Limited,REN,Financial Services
Resilient REIT Limited,RES,Real Estate Investment Trusts
Resource Generation Limited,RSG,#N/A
Reunert Limited,RLO,General Industrials
Rex Trueform Clothing Company Ltd,RTO,General Retailers
RH Bophelo Limited,RHB,Health Care Equipment & Services
Rhodes Food Group Holdings Limited,RFG,Food Producers
RMB Holdings Limited,RMH,Financial Services
Rockcastle Global Real Estate Company Limited,ROC,Real Estate Investment & Services
Rockwell Diamonds Incorporated,RDI,Industrial Metals & Mining
Rolfes Holdings Limited,RLF,Chemicals
Royal Bafokeng Platinum Limited,RBP,Mining
SA Corporate Real Estate Limited,SAC,Real Estate Investment Trusts
Sabvest Limited,SBV,Financial Services
Sacoil Holdings Limited,SCL,Oil & Gas Producers
Sacoven Plc,SCV,Financial Services
Safari Investments RSA Limited,SAR,Real Estate Investment Trusts
Sanlam Limited,SLM,Life Insurance
Santam Limited,SNT,Nonlife Insurance
Santova Limited,SNV,Industrial Transportation
Sappi Limited,SAP,Forestry & Paper
Sasfin Holdings Limited,SFN,Banks
Sasol Limited,SOL,Oil & Gas Producers
Schroder European Real Estate Investment Trust plc,SCD,Real Estate Investment Trusts
Sentula Mining Limited,SNU,Oil & Gas Producers
Sephaku Holdings Limited,SEP,Construction & Materials
Shoprite Holdings Limited,SHP,Food & Drug Retailers
Sibanye Gold Limited,SGL,Mining
Silverbridge Holdings Limited,SVB,Software & Computer Services
Sirius Real Estate Limited,SRE,Real Estate Investment & Services
South African Coal Mining Holdings Ltd,SAH,Oil & Gas Producers
South Ocean Holdings Limited,SOH,Electronic & Electrical Equipment
South32 Limited,S32,Industrial Metals & Mining
Sovereign Food Investments Limited,SOV,Food Producers
Spanjaard Limited,SPA,Chemicals
Spear REIT Limited,SEA,Real Estate Investment Trusts
Spur Corporation Limited,SUR,Travel & Leisure
Stadio Holdings Limited,SDO,General Retailers
Standard Bank Group Limited,SBK,Banks
Stefanutti Stocks Holdings Ltd,SSK,Construction & Materials
Steinhoff Africa Retail Limited,SRR,General Retailers
Steinhoff International Holdings Limited,SHF,Personal Goods
Steinhoff International Holdings NV,SNH,Personal Goods
Stellar Capital Partners Limited,SCP,Software & Computer Services
Stenprop Limited,STP,Real Estate Investment & Services
Stor-Age Property REIT Limited,SSS,Real Estate Investment Trusts
StratCorp Limited,STA,Financial Services
Sun International Limited,SUI,Travel & Leisure
Super Group Limited,SPG,General Retailers
Sygnia Limited,SYG,Financial Services
Synergy Income Fund Limited,SGA,Real Estate Investment Trusts
Taste Holdings Limited,TAS,Travel & Leisure
Tawana Resources NL,TAW,Industrial Metals & Mining
Telemasters Holdings Limited,TLM,Fixed Line Telecommunications
Telkom SA SOC Limited,TKG,Fixed Line Telecommunications
Texton Property Fund Limited,TEX,Real Estate Investment Trusts
Tharisa Plc,THA,Mining
The Bidvest Group Limited,BVT,General Industrials
The Foschini Group Limited,TFG,General Retailers
The Pivotal Fund Limited,PIV,Real Estate Investment Trusts
The SPAR Group Limited,SPP,Food & Drug Retailers
The Waterberg Coal Company Limited,WCC,Mining
Tiger Brands Limited,TBS,Food Producers
Tiso Blackstar Group SE,TBG,Financial Services
Tongaat Hulett Limited,TON,Food Producers
Torre Industries Limited,TOR,Support Services
Total Client Services Limited,TCS,Software & Computer Services
Tower Property Fund Limited,TWR,Real Estate Investment Trusts
Tradehold Limited,TDH,Real Estate Investment & Services
Trans Hex Group Limited,TSX,Mining
Transaction Capital Limited,TCP,Financial Services
Transpaco Limited,TPC,General Industrials
Trellidor Holdings Limited,TRL,Construction & Materials
Trematon Capital Investments Ltd,TMT,Financial Services
Trencor Limited,TRE,Industrial Transportation
Trustco Group Holdings Limited,TTO,Financial Services
Truworths International Limited,TRU,General Retailers
Tsogo Sun Holdings Limited,TSH,Travel & Leisure
Universal Partners Limited,UPL,Financial Services
Value Group Limited,VLE,Travel & Leisure
Verimark Holdings Limited,VMK,General Retailers
VestIN Holdings Limited,VIN,Financial Services
Visual International Holdings Limited,VIS,Real Estate Investment & Services
Vodacom Group Limited,VOD,Mobile Telecommunications
Vukile Property Fund Limited,VKE,Real Estate Investment Trusts
Vunani Limited,VUN,Financial Services
W G Wearne Limited,WEA,Construction & Materials
Wescoal Holdings Limited,WSL,Support Services
Wesizwe Platinum Limited,WEZ,Mining
Wilderness Holdings Limited,WIL,Travel & Leisure
William Tell Holdings Limited,WTL,Forestry & Paper
Wilson Bayly Holmes-Ovcon Limited,WBO,Construction & Materials
Winhold Limited,WNH,General Industrials
Woolworths Holdings Limited,WHL,General Retailers
Workforce Holdings Limited,WKF,Support Services
York Timber Holdings Limited,YRK,Forestry & Paper
ZCI Limited,ZCI,Industrial Metals & Mining
Zeder Investments Limited,ZED,Financial Services
